id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
116;Géographie;1;"Quelle est la capitale de l’Italie ?";"What is the capital of Italy?";"A) Milan | B) Rome | C) Naples | D) Florence";"A) Milan | B) Rome | C) Naples | D) Florence";"B";"Rome est la capitale de l’Italie.";"Rome is the capital of Italy."
118;Géographie;2;"Quel pays a pour capitale Reykjavik ?";"Which country has Reykjavik as its capital?";"A) Norvège | B) Islande | C) Finlande | D) Irlande";"A) Norway | B) Iceland | C) Finland | D) Ireland";"B";"Reykjavik est la capitale de l’Islande.";"Reykjavik is the capital of Iceland."
119;Géographie;1;"Quelle est la plus grande île du monde (hors continents) ?";"What is the largest island in the world (excluding continents)?";"A) Madagascar | B) Groenland | C) Bornéo | D) Nouvelle-Guinée";"A) Madagascar | B) Greenland | C) Borneo | D) New Guinea";"B";"Le Groenland est la plus grande île.";"Greenland is the largest island."
120;Géographie;2;"Quel pays est entièrement enclavé entre l’Afrique du Sud ?";"Which country is completely landlocked within South Africa?";"A) Lesotho | B) Botswana | C) Namibie | D) Eswatini";"A) Lesotho | B) Botswana | C) Namibia | D) Eswatini";"A";"Le Lesotho est un enclavement total à l’intérieur de l’Afrique du Sud.";"Lesotho is entirely surrounded by South Africa."
121;Géographie;1;"Quelle est la capitale de l’Espagne ?";"What is the capital of Spain?";"A) Barcelone | B) Madrid | C) Séville | D) Valence";"A) Barcelona | B) Madrid | C) Seville | D) Valencia";"B";"Madrid est la capitale de l’Espagne.";"Madrid is the capital of Spain."
122;Géographie;3;"Quel méridien sert de référence à la longitude 0° ?";"Which meridian is the reference for 0° longitude?";"A) Méridien de Paris | B) Méridien de Greenwich | C) Méridien de l’équateur | D) Méridien du tropique du Cancer";"A) Paris meridian | B) Greenwich meridian | C) Equator meridian | D) Tropic of Cancer meridian";"B";"Le méridien de Greenwich est la référence de la longitude 0°.";"The Greenwich meridian is the reference for 0° longitude."
123;Géographie;2;"Quel pays possède la plus longue frontière terrestre avec les États-Unis ?";"Which country shares the longest land border with the United States?";"A) Mexique | B) Canada | C) Cuba | D) Russie";"A) Mexico | B) Canada | C) Cuba | D) Russia";"B";"La frontière États-Unis–Canada est la plus longue.";"The U.S.–Canada border is the longest."
124;Géographie;2;"Quel est le point le plus bas de la surface terrestre émergée ?";"What is the lowest point on Earth’s land surface?";"A) Lac Titicaca | B) Mer Morte | C) Vallée de la Mort | D) Delta du Nil";"A) Lake Titicaca | B) Dead Sea | C) Death Valley | D) Nile Delta";"B";"Les rives de la mer Morte constituent le point le plus bas sur terre ferme.";"The shores of the Dead Sea are the lowest point on land."
125;Géographie;1;"Quel pays a pour capitale Berlin ?";"Which country has Berlin as its capital?";"A) Autriche | B) Allemagne | C) Suisse | D) Pays-Bas";"A) Austria | B) Germany | C) Switzerland | D) Netherlands";"B";"Berlin est la capitale de l’Allemagne.";"Berlin is the capital of Germany."
126;Géographie;2;"Quel volcan est situé en Italie près de Naples et est célèbre pour l’éruption de 79 ?";"Which volcano near Naples, Italy, is famous for the eruption of 79 CE?";"A) Etna | B) Vésuve | C) Stromboli | D) Vulcano";"A) Etna | B) Vesuvius | C) Stromboli | D) Vulcano";"B";"Le Vésuve détruit notamment Pompéi en 79.";"Vesuvius famously destroyed Pompeii in 79 CE."
128;Géographie;1;"Quelle est la capitale du Brésil ?";"What is the capital of Brazil?";"A) Rio de Janeiro | B) São Paulo | C) Brasília | D) Salvador";"A) Rio de Janeiro | B) São Paulo | C) Brasília | D) Salvador";"C";"Brasília est la capitale du Brésil.";"Brasília is the capital of Brazil."
129;Géographie;2;"Quel pays est le plus peuplé du monde (aujourd’hui) ?";"Which country is the most populous in the world (today)?";"A) Inde | B) États-Unis | C) Indonésie | D) Nigeria";"A) India | B) United States | C) Indonesia | D) Nigeria";"A";"L’Inde est actuellement le pays le plus peuplé.";"India is currently the most populous country."
130;Géographie;1;"Quel est le plus grand continent par superficie ?";"What is the largest continent by area?";"A) Afrique | B) Asie | C) Europe | D) Antarctique";"A) Africa | B) Asia | C) Europe | D) Antarctica";"B";"L’Asie est le plus grand continent.";"Asia is the largest continent."
131;Géographie;2;"Quelle mer sépare l’Italie des Balkans ?";"Which sea separates Italy from the Balkans?";"A) Mer Adriatique | B) Mer Rouge | C) Mer Baltique | D) Mer de Chine";"A) Adriatic Sea | B) Red Sea | C) Baltic Sea | D) China Sea";"A";"La mer Adriatique est entre l’Italie et la péninsule balkanique.";"The Adriatic Sea lies between Italy and the Balkan Peninsula."
132;Géographie;2;"Quel pays a pour capitale Wellington ?";"Which country has Wellington as its capital?";"A) Australie | B) Nouvelle-Zélande | C) Irlande | D) Jamaïque";"A) Australia | B) New Zealand | C) Ireland | D) Jamaica";"B";"Wellington est la capitale de la Nouvelle-Zélande.";"Wellington is the capital of New Zealand."
133;Géographie;1;"Quel est le plus grand lac d’Afrique par superficie ?";"What is the largest lake in Africa by surface area?";"A) Lac Victoria | B) Lac Tanganyika | C) Lac Malawi | D) Lac Tchad";"A) Lake Victoria | B) Lake Tanganyika | C) Lake Malawi | D) Lake Chad";"A";"Le lac Victoria est le plus grand par superficie.";"Lake Victoria is the largest by surface area."
134;Géographie;2;"Quel pays est situé sur la péninsule Ibérique avec l’Espagne ?";"Which country shares the Iberian Peninsula with Spain?";"A) Portugal | B) Italie | C) Belgique | D) Maroc";"A) Portugal | B) Italy | C) Belgium | D) Morocco";"A";"Le Portugal occupe la partie ouest de la péninsule Ibérique.";"Portugal occupies the western part of the Iberian Peninsula."
135;Géographie;3;"Quel est le nom de la ligne imaginaire à 23,5°N ?";"What is the name of the imaginary line at 23.5°N latitude?";"A) Tropique du Capricorne | B) Tropique du Cancer | C) Cercle polaire arctique | D) Équateur";"A) Tropic of Capricorn | B) Tropic of Cancer | C) Arctic Circle | D) Equator";"B";"Le tropique du Cancer est à environ 23,5° de latitude nord.";"The Tropic of Cancer is at about 23.5° north latitude."
136;Géographie;1;"Quelle est la capitale de la Turquie ?";"What is the capital of Turkey?";"A) Istanbul | B) Ankara | C) Izmir | D) Bursa";"A) Istanbul | B) Ankara | C) Izmir | D) Bursa";"B";"Ankara est la capitale (Istanbul est la plus grande ville)." ;"Ankara is the capital (Istanbul is the largest city)."
137;Géographie;2;"Quel massif montagneux sépare traditionnellement l’Europe de l’Asie en Russie ?";"Which mountain range traditionally separates Europe and Asia in Russia?";"A) Oural | B) Andes | C) Atlas | D) Apennins";"A) Ural | B) Andes | C) Atlas | D) Apennines";"A";"Les monts Oural sont une limite conventionnelle entre Europe et Asie.";"The Ural Mountains are a conventional boundary between Europe and Asia."
138;Géographie;2;"Quel pays a le plus grand nombre de fuseaux horaires officiels ?";"Which country has the greatest number of official time zones?";"A) Chine | B) France | C) Russie | D) Australie";"A) China | B) France | C) Russia | D) Australia";"B";"La France a 12 fuseaux horaires officiels grâce à ses territoires d'outre-mer, plus que la Russie (11) ou les États-Unis (11).";"France has 12 official time zones due to its overseas territories, more than Russia (11) or the United States (11).";
139;Géographie;1;"Quel est le nom de la mer intérieure salée entre Israël et la Jordanie ?";"What is the name of the inland salt sea between Israel and Jordan?";"A) Mer d’Aral | B) Mer Morte | C) Mer Caspienne | D) Mer Égée";"A) Aral Sea | B) Dead Sea | C) Caspian Sea | D) Aegean Sea";"B";"La mer Morte est une mer intérieure très salée.";"The Dead Sea is a very salty inland sea."
140;Géographie;2;"Quel est le plus grand pays d’Afrique par superficie ?";"What is the largest country in Africa by area?";"A) Algérie | B) Nigeria | C) RDC | D) Soudan";"A) Algeria | B) Nigeria | C) DR Congo | D) Sudan";"A";"L’Algérie est le plus grand pays d’Afrique par superficie.";"Algeria is Africa’s largest country by area."
141;Géographie;1;"Quelle est la capitale de l’Argentine ?";"What is the capital of Argentina?";"A) Santiago | B) Buenos Aires | C) Lima | D) Bogotá";"A) Santiago | B) Buenos Aires | C) Lima | D) Bogotá";"B";"Buenos Aires est la capitale de l’Argentine.";"Buenos Aires is the capital of Argentina."
142;Géographie;2;"Quel fleuve traverse la ville de Londres ?";"Which river flows through London?";"A) Danube | B) Tamise | C) Rhin | D) Tage";"A) Danube | B) Thames | C) Rhine | D) Tagus";"B";"Londres est traversée par la Tamise.";"London is crossed by the River Thames."
143;Géographie;1;"Quelle est la capitale de la Norvège ?";"What is the capital of Norway?";"A) Stockholm | B) Oslo | C) Copenhague | D) Helsinki";"A) Stockholm | B) Oslo | C) Copenhagen | D) Helsinki";"B";"Oslo est la capitale de la Norvège.";"Oslo is the capital of Norway."
144;Géographie;3;"Quel pays contrôle le canal de Panama (sur lequel il est situé) ?";"Which country controls the Panama Canal (where it is located)?";"A) Costa Rica | B) Panama | C) Colombie | D) Mexique";"A) Costa Rica | B) Panama | C) Colombia | D) Mexico";"B";"Le canal est situé au Panama et il est administré par le Panama.";"The canal is located in Panama and is administered by Panama."
145;Géographie;2;"Quelle est la capitale de la Suisse ?";"What is the capital of Switzerland?";"A) Zurich | B) Genève | C) Berne | D) Lausanne";"A) Zurich | B) Geneva | C) Bern | D) Lausanne";"C";"Berne est la capitale fédérale de la Suisse.";"Bern is Switzerland’s federal capital."
146;Géographie;2;"Quel est le plus long fleuve d’Europe ?";"What is the longest river in Europe?";"A) Danube | B) Volga | C) Rhin | D) Pô";"A) Danube | B) Volga | C) Rhine | D) Po";"B";"La Volga est le plus long fleuve d’Europe.";"The Volga is the longest river in Europe."
147;Géographie;1;"Quelle est la capitale du Maroc ?";"What is the capital of Morocco?";"A) Casablanca | B) Rabat | C) Marrakech | D) Fès";"A) Casablanca | B) Rabat | C) Marrakesh | D) Fez";"B";"Rabat est la capitale du Maroc.";"Rabat is the capital of Morocco."
148;Géographie;2;"Dans quel pays se trouve la ville de Shanghai ?";"In which country is Shanghai located?";"A) Chine | B) Corée du Sud | C) Vietnam | D) Thaïlande";"A) China | B) South Korea | C) Vietnam | D) Thailand";"A";"Shanghai est une grande ville de Chine.";"Shanghai is a major city in China."
149;Géographie;3;"Quel est le nom de la zone tropicale de forêt dense en Amérique du Sud ?";"What is the name of the dense tropical rainforest region in South America?";"A) Taïga | B) Amazonie | C) Savane du Serengeti | D) Toundra";"A) Taiga | B) Amazon Rainforest | C) Serengeti savanna | D) Tundra";"B";"L’Amazonie est la grande forêt tropicale humide sud-américaine.";"The Amazon is South America’s vast tropical rainforest."
150;Géographie;2;"Quel pays est surnommé le 'Pays du Soleil Levant' ?";"Which country is nicknamed the 'Land of the Rising Sun'?";"A) Chine | B) Japon | C) Philippines | D) Inde";"A) China | B) Japan | C) Philippines | D) India";"B";"Le Japon est surnommé le 'Pays du Soleil Levant'.";"Japan is nicknamed the 'Land of the Rising Sun'."
152;Physique;1;"Quelle grandeur mesure un thermomètre ?";"What quantity does a thermometer measure?";"A) Pression | B) Température | C) Masse | D) Tension électrique";"A) Pressure | B) Temperature | C) Mass | D) Voltage";"B";"Un thermomètre mesure la température.";"A thermometer measures temperature."
153;Physique;1;"Quelle est la vitesse de la lumière dans le vide (approx.) ?";"What is the speed of light in vacuum (approx.)?";"A) 3×10^6 m/s | B) 3×10^8 m/s | C) 3×10^10 m/s | D) 3×10^3 m/s";"A) 3×10^6 m/s | B) 3×10^8 m/s | C) 3×10^10 m/s | D) 3×10^3 m/s";"B";"La lumière se propage à environ 3×10^8 m/s dans le vide.";"Light travels at about 3×10^8 m/s in vacuum."
154;Physique;1;"Comment s’appelle la force qui s’oppose au mouvement entre deux surfaces en contact ?";"What is the force that opposes motion between two contacting surfaces?";"A) Poussée d’Archimède | B) Frottement | C) Gravitation | D) Tension";"A) Buoyant force | B) Friction | C) Gravitation | D) Tension";"B";"Le frottement s’oppose au mouvement relatif des surfaces.";"Friction opposes relative motion between surfaces."
155;Physique;2;"Dans un circuit, quelle relation exprime la loi d’Ohm ?";"In a circuit, what relationship does Ohm’s law express?";"A) P=UI | B) U=RI | C) E=mc² | D) F=ma";"A) P=VI | B) V=RI | C) E=mc² | D) F=ma";"B";"La loi d’Ohm relie tension U, résistance R et courant I : U=RI.";"Ohm’s law relates voltage V, resistance R, and current I: V=RI."
156;Physique;2;"Quelle particule porte une charge électrique négative ?";"Which particle carries a negative electric charge?";"A) Proton | B) Neutron | C) Électron | D) Photon";"A) Proton | B) Neutron | C) Electron | D) Photon";"C";"L’électron est chargé négativement.";"The electron has a negative charge."
157;Physique;2;"Quelle couleur de lumière visible correspond à la plus grande longueur d’onde ?";"Which visible color corresponds to the longest wavelength?";"A) Violet | B) Bleu | C) Vert | D) Rouge";"A) Violet | B) Blue | C) Green | D) Red";"D";"Dans le visible, le rouge a une longueur d’onde plus grande que le violet.";"In visible light, red has a longer wavelength than violet."
158;Physique;2;"Quel phénomène explique pourquoi un objet plongé dans l’eau paraît plus proche de la surface ?";"What phenomenon explains why an object underwater appears closer to the surface?";"A) Diffraction | B) Réfraction | C) Interférence | D) Polarisation";"A) Diffraction | B) Refraction | C) Interference | D) Polarization";"B";"La réfraction dévie les rayons lumineux à l’interface eau-air.";"Refraction bends light rays at the water–air boundary."
159;Physique;2;"Quelle est l’unité SI de l’énergie ?";"What is the SI unit of energy?";"A) Newton | B) Joule | C) Watt | D) Ampère";"A) Newton | B) Joule | C) Watt | D) Ampere";"B";"L’énergie s’exprime en joules (J).".";"Energy is measured in joules (J)."
160;Physique;3;"Dans un gaz parfait, que se passe-t-il si on double la température (en kelvins) à volume constant ?";"In an ideal gas, what happens if you double the temperature (in kelvins) at constant volume?";"A) La pression est divisée par 2 | B) La pression double | C) La pression ne change pas | D) La pression devient nulle";"A) Pressure is halved | B) Pressure doubles | C) Pressure doesn’t change | D) Pressure becomes zero";"B";"À volume constant, la pression est proportionnelle à la température absolue (loi de Gay-Lussac).".";"At constant volume, pressure is proportional to absolute temperature (Gay-Lussac’s law)."
161;Physique;3;"Quel type de rayonnement électromagnétique a l’énergie photonique la plus élevée ?";"Which electromagnetic radiation has the highest photon energy?";"A) Ondes radio | B) Micro-ondes | C) Rayons X | D) Infrarouge";"A) Radio waves | B) Microwaves | C) X-rays | D) Infrared";"C";"Plus la fréquence est grande, plus l’énergie du photon est élevée (E=hf).".";"Higher frequency means higher photon energy (E=hf)."
162;Physique;3;"Quelle loi relie la force, la masse et l’accélération ?";"Which law relates force, mass, and acceleration?";"A) Loi de Hooke | B) 2e loi de Newton | C) Loi de Coulomb | D) Loi de Bernoulli";"A) Hooke’s law | B) Newton’s 2nd law | C) Coulomb’s law | D) Bernoulli’s principle";"B";"La 2e loi de Newton : F = m·a.";"Newton’s 2nd law: F = m·a."
163;Physique;2;"Dans un circuit en série, que vaut l’intensité du courant à travers chaque composant ?";"In a series circuit, what is the current through each component?";"A) Elle se partage | B) Elle est la même partout | C) Elle est nulle | D) Elle dépend uniquement de la tension";"A) It splits | B) It is the same everywhere | C) It is zero | D) It depends only on voltage";"B";"En série, le courant est identique dans tous les éléments.";"In series, the current is the same through all elements."
164;Physique;2;"Quel instrument mesure la pression atmosphérique ?";"Which instrument measures atmospheric pressure?";"A) Baromètre | B) Hygromètre | C) Anémomètre | D) Sismomètre";"A) Barometer | B) Hygrometer | C) Anemometer | D) Seismometer";"A";"Un baromètre mesure la pression de l’air.";"A barometer measures air pressure."
165;Physique;1;"Quel est l’état de la matière le plus ordonné (au sens microscopique) parmi ces choix ?";"Which state of matter is most ordered (microscopically) among these choices?";"A) Gaz | B) Plasma | C) Liquide | D) Solide";"A) Gas | B) Plasma | C) Liquid | D) Solid";"D";"Les particules d’un solide sont en général plus organisées et moins libres.";"Particles in a solid are generally more ordered and less free to move."
166;Physique;3;"Quel phénomène décrit le décalage de fréquence dû au mouvement relatif source-observateur ?";"What phenomenon describes the frequency shift due to relative motion of source and observer?";"A) Effet Doppler | B) Effet Joule | C) Effet Hall | D) Effet photoélectrique";"A) Doppler effect | B) Joule effect | C) Hall effect | D) Photoelectric effect";"A";"L’effet Doppler modifie la fréquence perçue quand source et observateur bougent l’un par rapport à l’autre.";"The Doppler effect changes perceived frequency when source and observer move relative to each other."
167;Physique;2;"Quel est le rôle d’un fusible dans un circuit électrique ?";"What is the role of a fuse in an electrical circuit?";"A) Augmenter la tension | B) Stocker l’énergie | C) Protéger contre les surintensités | D) Transformer l’alternatif en continu";"A) Increase voltage | B) Store energy | C) Protect against overcurrent | D) Convert AC to DC";"C";"Un fusible fond si le courant est trop élevé et ouvre le circuit.";"A fuse melts if current is too high, opening the circuit."
168;Physique;2;"Quel est le nom de la transformation liquide → gaz ?";"What is the change from liquid to gas called?";"A) Fusion | B) Solidification | C) Vaporisation | D) Sublimation";"A) Melting | B) Freezing | C) Vaporization | D) Sublimation";"C";"La vaporisation est le passage de l’état liquide à l’état gazeux.";"Vaporization is the transition from liquid to gas."
169;Physique;1;"Quelle force attire les objets vers le centre de la Terre ?";"Which force pulls objects toward Earth’s center?";"A) Magnétique | B) Gravitationnelle | C) Élastique | D) Nucléaire forte";"A) Magnetic | B) Gravitational | C) Elastic | D) Strong nuclear";"B";"La gravitation attire les masses entre elles, dont les objets vers la Terre.";"Gravity attracts masses, pulling objects toward Earth."
170;Physique;3;"Que vaut la somme des tensions aux bornes des dipôles dans une boucle (loi des mailles) ?";"What is the sum of voltages around a loop (Kirchhoff’s voltage law)?";"A) Elle est toujours positive | B) Elle est toujours négative | C) Elle est égale à zéro | D) Elle dépend de la résistance totale";"A) Always positive | B) Always negative | C) Equals zero | D) Depends on total resistance";"C";"La somme algébrique des tensions dans une maille fermée est nulle.";"The algebraic sum of voltages in a closed loop is zero."
171;Physique;2;"Quel type de lentille fait converger des rayons lumineux parallèles ?";"Which type of lens converges parallel light rays?";"A) Lentille divergente | B) Lentille convergente | C) Miroir convexe | D) Prisme";"A) Diverging lens | B) Converging lens | C) Convex mirror | D) Prism";"B";"Une lentille convergente (convexe) focalise les rayons parallèles.";"A converging (convex) lens focuses parallel rays."
172;Physique;1;"Quelle grandeur s’exprime en watts (W) ?";"Which quantity is measured in watts (W)?";"A) Énergie | B) Puissance | C) Force | D) Charge électrique";"A) Energy | B) Power | C) Force | D) Electric charge";"B";"Le watt est l’unité SI de la puissance.";"The watt is the SI unit of power."
173;Physique;3;"Quel est le nom de la quantité de mouvement en physique ?";"What is the term for linear momentum in physics?";"A) Impulsion | B) Inertie | C) Moment cinétique | D) Pression";"A) Momentum | B) Inertia | C) Angular momentum | D) Pressure";"A";"La quantité de mouvement (momentum) vaut p = m·v.";"Linear momentum equals p = m·v."
174;Physique;2;"Dans le vide, le son se propage-t-il ?";"Does sound travel in a vacuum?";"A) Oui, plus vite | B) Oui, plus lentement | C) Non | D) Uniquement à basse fréquence";"A) Yes, faster | B) Yes, slower | C) No | D) Only at low frequency";"C";"Le son a besoin d’un milieu matériel pour se propager.";"Sound requires a material medium to propagate."
175;Physique;2;"Quel est le principal mode de transfert de chaleur dans le vide ?";"What is the main mode of heat transfer in a vacuum?";"A) Conduction | B) Convection | C) Rayonnement | D) Évaporation";"A) Conduction | B) Convection | C) Radiation | D) Evaporation";"C";"Dans le vide, seule l’énergie rayonnée (ondes électromagnétiques) transfère la chaleur.";"In a vacuum, only radiation (electromagnetic waves) transfers heat."
176;Chimie;1;"Quel est le symbole chimique de l’oxygène ?";"What is the chemical symbol for oxygen?";"A) Ox | B) O | C) Oy | D) Og";"A) Ox | B) O | C) Oy | D) Og";"B";"L’oxygène a pour symbole O.";"Oxygen’s symbol is O."
177;Chimie;1;"Quel est le pH d’une solution neutre à 25°C (approx.) ?";"What is the pH of a neutral solution at 25°C (approx.)?";"A) 0 | B) 7 | C) 14 | D) 1";"A) 0 | B) 7 | C) 14 | D) 1";"B";"Une solution neutre a un pH proche de 7.";"A neutral solution has a pH near 7."
178;Chimie;1;"Comment s’appelle la transformation chimique où une substance réagit avec le dioxygène en dégageant de l’énergie ?";"What is the chemical process where a substance reacts with oxygen releasing energy?";"A) Fermentation | B) Combustion | C) Distillation | D) Sublimation";"A) Fermentation | B) Combustion | C) Distillation | D) Sublimation";"B";"La combustion est une réaction d’oxydation rapide avec dégagement d’énergie.";"Combustion is a rapid oxidation reaction that releases energy."
179;Chimie;2;"Quel type de liaison partage des électrons entre atomes ?";"Which type of bond shares electrons between atoms?";"A) Ionique | B) Covalente | C) Métallique | D) Hydrogène";"A) Ionic | B) Covalent | C) Metallic | D) Hydrogen";"B";"Une liaison covalente correspond au partage d’électrons.";"A covalent bond involves sharing electrons."
180;Chimie;2;"Quel gaz est majoritaire dans l’air terrestre (sec) ?";"Which gas is the most abundant in Earth’s (dry) air?";"A) Dioxygène (O₂) | B) Diazote (N₂) | C) Dioxyde de carbone (CO₂) | D) Argon (Ar)";"A) Oxygen (O₂) | B) Nitrogen (N₂) | C) Carbon dioxide (CO₂) | D) Argon (Ar)";"B";"L’air sec contient majoritairement du diazote (~78%).";"Dry air is mostly nitrogen (~78%)."
181;Chimie;2;"Quel est le nom de la particule au centre de l’atome portant une charge positive ?";"What is the positively charged particle in the center of an atom?";"A) Proton | B) Électron | C) Neutron | D) Ion";"A) Proton | B) Electron | C) Neutron | D) Ion";"A";"Les protons, chargés positivement, se trouvent dans le noyau.";"Protons are positively charged and located in the nucleus."
182;Chimie;2;"Que mesure la concentration molaire (molarité) ?";"What does molar concentration (molarity) measure?";"A) Masse par volume | B) Moles de soluté par litre de solution | C) Volume par mole | D) Température par volume";"A) Mass per volume | B) Moles of solute per liter of solution | C) Volume per mole | D) Temperature per volume";"B";"La molarité est le nombre de moles de soluté par litre de solution.";"Molarity is moles of solute per liter of solution."
183;Chimie;3;"Quel est l’ordre d’acidité : pH 3, pH 7, pH 11 ?";"Which order reflects increasing acidity: pH 3, pH 7, pH 11?";"A) pH 11 > pH 7 > pH 3 | B) pH 3 > pH 7 > pH 11 | C) pH 7 > pH 3 > pH 11 | D) pH 7 > pH 11 > pH 3";"A) pH 11 > pH 7 > pH 3 | B) pH 3 > pH 7 > pH 11 | C) pH 7 > pH 3 > pH 11 | D) pH 7 > pH 11 > pH 3";"B";"Plus le pH est bas, plus la solution est acide : 3 est plus acide que 7, lui-même plus acide que 11.";"Lower pH means more acidic: 3 is more acidic than 7, which is more acidic than 11."
184;Chimie;2;"Quel est le produit principal de la réaction entre un acide et une base ?";"What are the main products of an acid–base reaction?";"A) Sel et eau | B) Oxygène et eau | C) Acide et base | D) Dioxyde de carbone";"A) Salt and water | B) Oxygen and water | C) Acid and base | D) Carbon dioxide";"A";"Une neutralisation acide-base produit typiquement un sel et de l’eau.";"An acid–base neutralization typically produces salt and water."
185;Chimie;1;"Lequel est un métal ?";"Which one is a metal?";"A) Hélium | B) Sodium | C) Chlore | D) Soufre";"A) Helium | B) Sodium | C) Chlorine | D) Sulfur";"B";"Le sodium (Na) est un métal alcalin.";"Sodium (Na) is an alkali metal."
186;Chimie;2;"Quel est le nom de la formule H₂O ?";"What is the name of the formula H₂O?";"A) Peroxyde d’hydrogène | B) Eau | C) Dioxyde de carbone | D) Ammoniac";"A) Hydrogen peroxide | B) Water | C) Carbon dioxide | D) Ammonia";"B";"H₂O est la formule de l’eau.";"H₂O is the formula for water."
187;Chimie;3;"Que représente le nombre d’Avogadro (approx.) ?";"What does Avogadro’s number (approx.) represent?";"A) Nombre de molécules dans 1 kg d’eau | B) Nombre de particules dans 1 mole | C) Nombre d’atomes dans un proton | D) Nombre de moles dans 1 litre";"A) Molecules in 1 kg of water | B) Particles in 1 mole | C) Atoms in a proton | D) Moles in 1 liter";"B";"Une mole contient environ 6,022×10^23 entités (atomes, molécules, etc.).";"One mole contains about 6.022×10^23 entities (atoms, molecules, etc.)."
188;Chimie;2;"Quel est le nom de la séparation d’un mélange basée sur les points d’ébullition ?";"What is the separation of a mixture based on boiling points called?";"A) Filtration | B) Distillation | C) Chromatographie | D) Décantation";"A) Filtration | B) Distillation | C) Chromatography | D) Decantation";"B";"La distillation sépare grâce aux différences de volatilité (points d’ébullition).".";"Distillation separates substances using differences in volatility (boiling points)."
189;Chimie;2;"Quel ion est responsable de l’acidité en solution aqueuse (au niveau collège/lycée) ?";"Which ion is responsible for acidity in aqueous solution (school-level)?";"A) OH⁻ | B) Na⁺ | C) H⁺ | D) Cl⁻";"A) OH⁻ | B) Na⁺ | C) H⁺ | D) Cl⁻";"C";"L’acidité est associée à la présence d’ions H⁺ (ou H₃O⁺ en réalité).".";"Acidity is associated with H⁺ ions (more precisely H₃O⁺)."
190;Chimie;1;"Quel changement d’état correspond à solide → liquide ?";"Which phase change is solid → liquid?";"A) Fusion | B) Condensation | C) Solidification | D) Sublimation";"A) Melting | B) Condensation | C) Freezing | D) Sublimation";"A";"La fusion est le passage de l’état solide à l’état liquide.";"Melting is the transition from solid to liquid."
191;Chimie;3;"Dans une réaction d’oxydoréduction, que se passe-t-il lors d’une oxydation ?";"In a redox reaction, what happens during oxidation?";"A) Gain d’électrons | B) Perte d’électrons | C) Gain de protons | D) Perte de neutrons";"A) Gain of electrons | B) Loss of electrons | C) Gain of protons | D) Loss of neutrons";"B";"Oxydation = perte d’électrons (mnémotechnique : OIL RIG).".";"Oxidation = loss of electrons (mnemonic: OIL RIG)."
192;Chimie;2;"Quel est le gaz produit lors de la réaction d’un acide avec un métal comme le zinc ?";"Which gas is produced when an acid reacts with a metal like zinc?";"A) Hydrogène | B) Azote | C) Ozone | D) Dioxyde de carbone";"A) Hydrogen | B) Nitrogen | C) Ozone | D) Carbon dioxide";"A";"Acide + métal → sel + dihydrogène (H₂).".";"Acid + metal → salt + hydrogen gas (H₂)."
193;Chimie;2;"Lequel est un exemple de mélange homogène ?";"Which is an example of a homogeneous mixture?";"A) Eau + huile | B) Eau salée | C) Sable + graviers | D) Jus d’orange avec pulpe";"A) Water + oil | B) Salt water | C) Sand + gravel | D) Orange juice with pulp";"B";"L’eau salée est uniforme à l’œil : c’est un mélange homogène.";"Salt water is uniform to the eye: a homogeneous mixture."
194;Chimie;3;"Quel est le nom d’une substance qui accélère une réaction sans être consommée ?";"What do you call a substance that speeds up a reaction without being consumed?";"A) Solvant | B) Catalyseur | C) Réactif limitant | D) Produit";"A) Solvent | B) Catalyst | C) Limiting reactant | D) Product";"B";"Un catalyseur abaisse l’énergie d’activation et n’est pas consommé globalement.";"A catalyst lowers activation energy and is not consumed overall."
195;Chimie;1;"Quelle est la formule du dioxyde de carbone ?";"What is the formula of carbon dioxide?";"A) CO | B) CO₂ | C) C₂O | D) O₂C";"A) CO | B) CO₂ | C) C₂O | D) O₂C";"B";"Le dioxyde de carbone contient un carbone et deux oxygènes : CO₂.";"Carbon dioxide has one carbon and two oxygens: CO₂."
196;Biologie;1;"Quelle molécule porte l’information génétique chez l’humain ?";"Which molecule carries genetic information in humans?";"A) ADN | B) Glucose | C) Lipide | D) Eau";"A) DNA | B) Glucose | C) Lipid | D) Water";"A";"L’ADN (acide désoxyribonucléique) est le support principal de l’information génétique.";"DNA (deoxyribonucleic acid) is the main carrier of genetic information."
198;Biologie;1;"Quel est le rôle principal des globules rouges ?";"What is the main role of red blood cells?";"A) Défense immunitaire | B) Transport de l’oxygène | C) Coagulation | D) Digestion";"A) Immune defense | B) Oxygen transport | C) Clotting | D) Digestion";"B";"Les globules rouges transportent l’oxygène grâce à l’hémoglobine.";"Red blood cells transport oxygen via hemoglobin."
199;Biologie;2;"Quel organe est principalement responsable de la détoxification du sang ?";"Which organ is primarily responsible for detoxifying the blood?";"A) Cœur | B) Foie | C) Estomac | D) Rate";"A) Heart | B) Liver | C) Stomach | D) Spleen";"B";"Le foie métabolise et élimine de nombreuses substances.";"The liver metabolizes and helps remove many substances."
